revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=100/warm=true/delayed=false/workers=2,2477674.0,4774.0,0.0,0.0,0.0,300.0,0.0,1024.0,827930.0,458.0,750.0,12542.0,64.0,0.0,0.8211,0.0,0.0,0.9523,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=false/workers=4,2514866.0,4805.0,0.0,0.0,0.0,300.0,0.0,1024.0,1087972.0,791.0,1083.0,18791.0,64.0,0.0,1.078,0.0,0.0,0.8826,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=true/workers=1,2470205.0,4768.0,0.0,0.0,0.0,300.0,0.0,1024.0,1625972.0,709.0,1125.0,15083.0,64.0,0.0,1.619,0.0,0.0,0.9952,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=true/workers=2,2478837.0,4772.0,0.0,0.0,0.0,300.0,0.0,1024.0,883111.0,875.0,1167.0,17750.0,64.0,0.0,0.8727,0.0,0.0,0.9758,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=true/workers=4,2504162.0,4802.0,0.0,0.0,0.0,300.0,0.0,1024.0,1069361.0,708.0,1416.0,20916.0,64.0,0.0,1.059,0.0,0.0,0.8577,1024.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=1,2781493.0,3892.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,21117528.0,833.0,1083.0,17458.0,64.0,1024.0,21.11,1094051.0,36.0,0.9996,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=2,5177920.0,4035.0,1024.0,1628538.0,53.67,97.33,53.67,1024.0,17141486.0,500.0,708.0,10583.0,64.0,1024.0,17.14,1628538.0,53.67,0.9968,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=4,3814592.0,4725.0,1024.0,2622202.0,85.67,65.33,85.67,1024.0,16677958.0,833.0,1792.0,64292.0,64.0,1024.0,16.67,2622202.0,85.67,0.9823,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=1,2657922.0,3894.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,20715930.0,583.0,833.0,12750.0,64.0,1024.0,20.71,1094051.0,36.0,0.9996,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=2,4553605.0,4007.0,1024.0,1799394.0,59.0,92.0,59.0,1024.0,16902167.0,750.0,1000.0,17083.0,64.0,1024.0,16.89,1799394.0,59.0,0.9928,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=4,3721037.0,4582.0,1024.0,3837992.0,126.3,24.67,126.3,1024.0,18664917.0,792.0,1209.0,16250.0,64.0,1024.0,18.65,3837992.0,126.3,0.979,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=false/workers=1,2680602.0,3868.0,1024.0,0.0,0.0,151.0,0.0,1024.0,16467083.0,583.0,958.0,13292.0,64.0,1024.0,16.46,0.0,0.0,0.9995,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=false/workers=2,4547101.0,3966.0,1024.0,0.0,0.0,151.0,0.0,1024.0,16563236.0,791.0,1375.0,18583.0,64.0,1024.0,16.55,0.0,0.0,0.9946,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=false/workers=4,4231869.0,4905.0,1024.0,0.0,0.0,151.0,0.0,1024.0,17410792.0,750.0,2250.0,22583.0,64.0,1024.0,17.4,0.0,0.0,0.904,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=1,3013640.0,3873.0,1024.0,0.0,0.0,151.0,0.0,1024.0,17629736.0,750.0,1125.0,18291.0,64.0,1024.0,17.62,0.0,0.0,0.9995,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=2,4026146.0,3944.0,1024.0,0.0,0.0,151.0,0.0,1024.0,17420723.0,792.0,1500.0,18875.0,64.0,1024.0,17.41,0.0,0.0,0.9927,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=true/workers=4,4714173.0,4571.0,1024.0,0.0,0.0,151.0,0.0,1024.0,17784500.0,792.0,1209.0,16416.0,64.0,1024.0,17.77,0.0,0.0,0.8452,0.0,0.0,0.0
