revision,case,B/op,allocs/op,archive-hits/op,archive-sst-bytes/op,archive-sst-reads/op,block-cache-hits/op,block-cache-misses/op,consumed/op,ns/op,overlap-put-p50-ns,overlap-put-p95-ns,overlap-put-p99-ns,overlap-put-samples/op,promoted/op,refresh-ms/op,sst-bytes/op,sst-reads/op,worker-utilization,writable-hits/op,writable-sst-bytes/op,writable-sst-reads/op
before,writable-hits=100/warm=true/delayed=true/workers=1,2466677.0,4778.0,0.0,0.0,0.0,300.0,0.0,1024.0,2259889.0,750.0,1792.0,14083.0,64.0,0.0,2.244,0.0,0.0,0.9929,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=true/workers=2,2658912.0,4963.0,0.0,0.0,0.0,360.7,0.0,1024.0,1610528.0,1125.0,2083.0,28167.0,64.0,0.0,1.594,0.0,0.0,0.8979,1024.0,0.0,0.0
before,writable-hits=100/warm=true/delayed=true/workers=4,2925874.0,5213.0,0.0,0.0,0.0,397.0,0.0,1024.0,2861125.0,1750.0,2875.0,36625.0,64.0,0.0,2.831,0.0,0.0,0.8948,1024.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=1,2466045.0,3892.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,27233166.0,1709.0,3500.0,34791.0,64.0,1024.0,27.21,1094051.0,36.0,0.9992,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=2,4253082.0,3984.0,1024.0,1916858.0,62.67,88.33,62.67,1024.0,23149069.0,1291.0,2500.0,32292.0,64.0,1024.0,23.13,1916858.0,62.67,0.9923,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=false/workers=4,4635368.0,4041.0,1024.0,2613134.0,86.0,65.0,86.0,1024.0,17940236.0,1084.0,2750.0,42959.0,64.0,1024.0,17.92,2613134.0,86.0,0.9837,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=1,3256469.0,3905.0,1024.0,1094051.0,36.0,115.0,36.0,1024.0,24698499.0,1708.0,2000.0,32042.0,64.0,1024.0,24.68,1094051.0,36.0,0.9993,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=2,4208392.0,3993.0,1024.0,2130429.0,69.33,81.67,69.33,1024.0,21100889.0,1291.0,1584.0,23584.0,64.0,1024.0,21.08,2130429.0,69.33,0.9934,0.0,0.0,0.0
after,writable-hits=0/warm=false/delayed=true/workers=4,4614200.0,4062.0,1024.0,3677812.0,121.3,29.67,121.3,1024.0,22743319.0,1750.0,2250.0,35583.0,64.0,1024.0,22.72,3677812.0,121.3,0.9805,0.0,0.0,0.0
after,writable-hits=0/warm=true/delayed=false/workers=1,2380552.0,3843.0,1024.0,0.0,0.0,151.0,0.0,1024.0,20493055.0,1833.0,3250.0,50542.0,64.0,1024.0,20.47,0.0,0.0,0.9991,0.0,0.0,0.0
